Kanji,Heisig Keyword,English Meaning,stroke count,Heisig RTK Index,RTK2 Index,2k1KO Index,Opt Vocab Sort Index,Kanji Learner Course Index,KanKen (Jun1=1.5) (Jun2=2.5),Freq.,Number (KANJIDIC),JIS,Kana,Joyo ON (* = not common),Joyo On (Kanji),Joyo On (Kana),Joyo Kun (Kanji),Joyo Kun (Kana),Primitive look-up data.,Japan Primitive Look-up,Joyo Kun (* = not common),All Kana,2k1KO Book
恐,fear,"fear, dread, awe ",10,613,1903,1106,1106,1633,4,797,582,3632,キョウ    おそ.れる    おそ.る    おそ.ろしい    こわ.い    こわ.がる    ,キョウ,"[恐怖, 恐縮, 恐慌]","[きょうふ, きょうしゅく, きょうこう]",恐れる; 恐ろしい,おそ.れる; おそ.ろしい,",fear,barge,craft,mediocre,drop,wind,heart,",",tenn,tsukue,tukue,takumi,kokoro,kaze,",おそ-れる、おそ-ろしい,キョウ    おそ.れる    おそ.る    おそ.ろしい    こわ.い    こわ.がる    ,2 2k1KO
怖,dreadful,"dreadful, be frightened, fearful ",8,623,819,1107,1107,1634,4,1234,2411,495D,フ    ホ    こわ.い    こわ.がる    お.じる    おそ.れる    ,フ,[恐怖],[きょうふ],怖い,こわ.い,",dreadful,Freud,state of mind,linen,by one’s side,towel,",",haba,risshinben,",こわ-い,フ    ホ    こわ.い    こわ.がる    お.じる    おそ.れる    ,2 2k1KO
竜,dragon,"dragon, imperial ",10,536,1924,1108,1108,507,2.5,1006,2841,4E35,リュウ    リョウ    ロウ    たつ    いせ    ,リュウ,"[竜, 竜頭蛇尾]","[りゅう, りゅうあたまへびお]",,,",dragon,vase,stand up,eel,sun,day,",",nichi,jitsu,tatsu,ryuu,tatsu,",,リュウ    リョウ    ロウ    たつ    いせ    Name Readings:  りう    ,2 2k1KO
巨,gigantic,"gigantic, big, large, great ",4,856,224,1109,1109,483,4,847,550,3570,キョ    ,キョ,"[巨大, 巨匠, 巨万]","[きょだい, きょしょう, きょまん]",,,",gigantic,Fafner,",",",,キョ    Name Readings:  おお    か    こ    なお    ,2 2k1KO
拒,repel,"repel, refuse, reject, decline ",8,857,225,1110,1110,2014,2.5,1106,551,3571,キョ    ゴ    こば.む    ,キョ,"[拒絶, 拒否]","[きょぜつ, きょひ]",拒む,こば.む,",repel,finger,fingers,gigantic,Fafner,",",te,tehen,",こば-む,キョ    ゴ    こば.む    ,2 2k1KO
糸,thread,thread ,6,1333,2174,1111,1111,112,10,1211,1103,3B65,シ    いと    ,シ,"[綿糸, 蚕糸, 製糸]","[めんし, かいこいと, せいし]",糸,いと,",thread,spiderman,",",ito,",いと,シ    いと    ,3 2k1KO
系,lineage,"lineage, system ",7,1391,872,1112,1112,1077,5,539,705,374F,ケイ    ,ケイ,"[系統, 系列, 体系]","[けいとう, けいれつ, たいけい]",,,",lineage,stick,drop,thread,spiderman,",",tenn,ito,",,ケイ    ,3 2k1KO
孫,grandchild,"grandchild, descendants ",10,1393,874,1113,1113,1079,7,1383,1717,4239,ソン    まご    ,ソン,"[子孫, 嫡孫]","[しそん, ちゃくまご]",孫,まご,",grandchild,child,lineage,drop,thread,spiderman,",",tenn,kohen,ito,",まご,ソン    まご    Name Readings:  ひ    ,3 2k1KO
絹,silk,silk ,13,1368,1802,1114,1114,212,5,1614,760,3828,ケン    きぬ    ,ケン,"[絹布, 人絹]","[けんぷ, じんけん]",絹,きぬ,",silk,thread,spiderman,mouth,moon,month,flesh,part of the body,",",kuchi,kuti,tsuki,getsu,ito,",きぬ,ケン    きぬ    ,3 2k1KO
綿,cotton,cotton ,14,1367,1871,1115,1115,211,6,1474,2674,4C4A,メン    わた    ,メン,"[綿布, 綿密, 純綿]","[めんぷ, めんみつ, じゅんめん]",綿,わた,",cotton,thread,spiderman,napkin,white,dove,towel,",",haba,shiro,ito,",わた,メン    わた    Name Readings:  う    ,3 2k1KO
縁,affinity,"affinity, relation, connection, edge, border, verge, brink ",15,1372,1916,1116,1116,610,4,1217,173,316F,エン    -ネン    ふち    ふちど.る    ゆかり    よすが    へり    えにし    ,エン,"[縁故, 縁日, 血縁]","[えんこ, えんにち, けつえん]",縁,ふち,",affinity,thread,spiderman,broom,sow,pig,",",keigashira,keigasira,ito,buta,inoko,",ふち,エン    -ネン    ふち    ふちど.る    ゆかり    よすが    へり    えにし    ,3 2k1KO
繊,slender,"slender, fine, thin kimono ",17,1790,743,1117,1117,2008,2.5,1440,1599,4121,セン    ,セン,"[繊細, 繊維, 化繊]","[せんさい, せんい, かせん]",,,",slender,thread,spiderman,Thanksgiving,harvest festival,ten,needle,fiesta,row,",",juu,hoko,ito,",,セン    ,3 2k1KO
維,fiber,"fiber, tie, rope ",14,1341,1630,1118,1118,2149,4,877,61,305D,イ    ,イ,"[維持, 維新, 繊維]","[いじ, いしん, せんい]",,,",fiber,thread,spiderman,turkey,",",ito,furutori,",,イ    Name Readings:  これ    たもつ    つぐ    ゆい    ゆき    ,3 2k1KO
紡,spinning,spinning ,10,1357,1310,1119,1119,835,2.5,1708,2572,4B42,ボウ    つむ.ぐ    ,ボウ,"[紡績, 混紡]","[ぼうせき, こんぼう]",紡ぐ,つむ.ぐ,",spinning,thread,spiderman,compass,direction,",",kata,ito,",つむ-ぐ,ボウ    つむ.ぐ    ,3 2k1KO
紳,sire,"sire, good belt, gentleman ",11,1361,147,1120,1120,874,2.5,1808,1444,3F42,シン    ,シン,[紳士],[しんし],,,",sire,thread,spiderman,monkey,sun,day,stick,",",nichi,jitsu,ito,",,シン    Name Readings:  まこと    ,3 2k1KO
累,accumulate,"accumulate, involvement, trouble, tie up, continually ",11,1364,1677,1121,1121,884,2.5,1771,2883,4E5F,ルイ    ,ルイ,"[累計, 累積, 係累]","[るいけい, るいせき, けいるい]",,,",accumulate,rice field,brains,thread,spiderman,",",den,ta,ito,",,ルイ    ,3 2k1KO
繁,luxuriant,"luxuriant, thick, overgrown, frequency, complexity, trouble ",16,1337,1308,1122,1122,1575,4,1260,2299,484B,ハン    しげ.る    しげ.く    ,ハン,"[繁栄, 繁茂, 繁華街]","[はんえい, はんも, はんかがい]",,,",luxuriant,cleverness,reclining,lying down,mother,breasts,taskmaster,thread,spiderman,",",nobun,tomata,haha,ito,",,ハン    しげ.る    しげ.く    ,3 2k1KO
緯,horizontal,"horizontal, woof, left & right, latitude ",16,1645,1223,1123,1123,660,4,1493,62,305E,イ    よこいと    ぬき    ,イ,"[緯度, 北緯, 経緯]","[いど, ほくい, けいい]",,,",horizontal,thread,spiderman,locket,stick,key,mouth,monocle,sunglasses with one lens missing,",",kuchi,kuti,ito,nameshigawa,",,イ    よこいと    ぬき    ,3 2k1KO
偉,admirable,"admirable, greatness, remarkable, conceited, famous, excellent ",12,1643,1222,1124,1124,659,4,1506,46,304E,イ    えら.い    ,イ,"[偉大, 偉人, 偉観]","[いだい, いじん, いかん]",偉い,えら.い,",admirable,person,locket,stick,key,mouth,monocle,sunglasses with one lens missing,",",hito,ninben,kuchi,kuti,nameshigawa,",えら-い,イ    えら.い    Name Readings:  ひで    ,3 2k1KO
韓,Korea,Korea ,18,1647,1225,1125,1125,662,1.5,669,434,345A,カン    から    いげた    ,カン,,,,,",korea,mist,ten,needle,early,sun,day,locket,stick,key,mouth,monocle,sunglasses with one lens missing,ten2,needle2,",",juu,kuchi,kuti,nichi,jitsu,nameshigawa,",,カン    から    いげた    ,3 2k1KO
刀,sword,"sword, saber, knife ",2,83,1831,1126,1126,85,9,1404,2039,4561,トウ    かたな    そり    ,トウ,"[刀剣, 短刀, 名刀]","[とうけん, たんとう, めいとう]",刀,かたな,",sword,dagger,",",katana,",かたな,トウ    かたな    そり    Name Readings:  き    ち    と    わき    ,3 2k1KO
刃,blade,"blade, sword, edge ",3,84,2199,1127,1127,87,2.5,1623,1457,3F4F,ジン    ニン    は    やいば    き.る    ,ジン,"[白刃, 凶刃, 自刃]","[はくじん, きょうじん, じじん]",刃,は,",blade,drop,sword,dagger,",",tenn,katana,",は,ジン    ニン    は    やいば    き.る    Name Readings:  ち    と    ,3 2k1KO
忍,endure,"endure, bear, put up with, conceal, secrete, spy, sneak ",7,597,310,1128,1128,1095,2.5,1476,2168,4726,ニン    しの.ぶ    しの.ばせる    ,ニン,"[忍者, 忍耐, 残忍]","[にんじゃ, にんたい, ざんにん]",忍ばせる; 忍ぶ,しの.ばせる; しの.ぶ,",endure,blade,sword,dagger,drop,heart,",",tenn,katana,kokoro,",しの-ぶ、しの-ばせる,ニン    しの.ぶ    しの.ばせる    Name Readings:  おし    ,3 2k1KO
耐,-proof,"-proof, enduring ",9,1164,1905,1129,1129,2109,4,1311,1741,4251,タイ    た.える    ,タイ,"[耐久, 耐火, 忍耐]","[たいきゅう, たいか, にんたい]",耐える,た.える,",proof,comb,glue,",",sunn,shikashite,",た-える,タイ    た.える    Name Readings:  たえ    ,3 2k1KO
矢,dart,"dart, arrow ",5,1220,2126,1130,1130,559,9,1160,2712,4C70,シ    や    ,シ,[一矢を報いる],[いっしをむくいる],矢,や,",dart,drop,heavens,",",tenn,ya,",や,シ    や    ,3 2k1KO
弓,bow,"bow, bow (archery, violin) ",3,1231,2053,1131,1131,421,9,1705,531,355D,キュウ    ゆみ    ,キュウ,"[弓道, 弓状, 洋弓]","[きゅうどう, ゆみじょう, ひろしゆみ]",弓,ゆみ,",bow,",",yumi,",ゆみ,キュウ    ゆみ    Name Readings:  こ    ゆ    ,3 2k1KO
弦,bowstring,"bowstring, chord, hypotenuse ",8,1386,529,1132,1132,2142,2.5,1825,777,3839,ゲン    つる    ,ゲン,"[上弦, 正弦]","[じょうげん, せいげん]",弦,つる,",bowstring,bow,mysterious,top hat,cocoon,",",nabebuta,itogashira,itogasira,yumi,gen,kuro,",つる,ゲン    つる    ,3 2k1KO
弧,arc,"arc, arch, bow ",9,1878,837,1133,1133,1074,3,2275,796,384C,コ    ,コ,"[弧状, 括弧, 円弧]","[こじょう, かっこ, えんこ]",,,",arc,bow,melon,claw,vulture,elbow,",",mu,yumi,tsume,uri,",,コ    ,3 2k1KO
孤,orphan,"orphan, alone ",9,1879,836,1134,1134,1073,3,1402,793,3849,コ    ,コ,"[孤児, 孤独, 孤立]","[こじ, こどく, こりつ]",,,",orphan,child,melon,claw,vulture,elbow,",",mu,kohen,tsume,uri,",,コ    ,3 2k1KO
爪,claw,"claw, nail, talon ",4,727,610,1135,1135,201,1.5,1995,1942,445E,ソウ    つめ    つま-    ,,,,爪,つめつま,",claw,vulture,",",tsume,",つめ　　つま,ソウ    つめ    つま-    ,3 2k1KO
机,desk,"desk, table ",6,210,530,1136,1136,1967,5,1542,465,3479,キ    つくえ    ,キ,"[机上, 机辺]","[きじょう, つくえへん]",机,つくえ,",desk,tree,wood,wind,",",tsukue,tukue,ki,moku,kaze,",つくえ,キ    つくえ    ,3 2k1KO
枠,frame,"frame, framework, spindle, spool, bounding-box, (kokuji) ",8,200,591,1137,1137,1624,2.5,1293,2954,4F48,わく    ,,,,枠,わく,",frame,tree,wood,ninety,nine,baseball,ten,needle,",",juu,ki,moku,",わく,わく    ,3 2k1KO
棚,shelf,"shelf, ledge, rack, mount, mantle, trellis ",12,202,593,1138,1138,2227,2.5,1545,1796,432A,ホウ    たな    -だな    ,,,,棚,たな,",shelf,tree,wood,companion,moon,month,flesh,part of the body,moon2,month2,flesh,2,part of the body2,",",tsuki,getsu,ki,moku,",たな,ホウ    たな    -だな    ,3 2k1KO
梱,bale,"pack, tie up, bale ",11,2518,2419,1139,1139,1724,1.5,2431,953,3A2D,コン    こう.る    こうり    こり    しきみ    ,,,,,,",bale,tree,wood,quandary,pent in,tree,wood,tree2,wood2,",",kunigamae,ki,moku,",,コン    こう.る    こうり    こり    しきみ    ,3 2k1KO
桁,girder,"beam, girder, spar, unit or column (accounting) ",10,2483,3161,1140,1140,2229,1.5,2312,727,3765,コウ    けた    ,,,,桁,けた,",girder,tree,wood,going,",",ki,moku,gyougamae,",けた,コウ    けた    ,3 2k1KO
棒,rod,"rod, stick, cane, pole, club, line ",12,1575,799,1141,1141,2107,5,1391,2570,4B40,ボウ    ,ボウ,"[捧グラフ, 捧読み, 鉄棒]","[ほうグラフ, ほうよみ, てつぼう]",,,",rod,tree,wood,observance,dedicate,bonsai,cornstalk,",",ki,moku,",,ボウ    ,3 2k1KO
柄,design,"design, pattern, build, nature, handle, crank, grip, knob, shaft ",9,1021,273,1142,1142,1524,4,968,2477,4A41,ヘイ    がら    え    つか    ,ヘイ,"[横柄, 権柄ずく]","[おうへい, けんがらずく]",柄; 柄,え; がら,",design,tree,wood,third class,one,ceiling,inside,person,belt,",",ichi,iti,hito,ninben,ki,moku,",がら、え,ヘイ    がら    え    つか    Name Readings:  から    ら    ,3 2k1KO
枝,bough,"bough, branch, twig, limb ",8,713,1403,1143,1143,965,6,1032,1096,3B5E,シ    えだ    ,シ,[枝葉],[えだは],枝,えだ,",bough,tree,wood,branch,ten,needle,crotch,",",juu,mata,eda,ki,moku,",えだ,シ    えだ    Name Readings:  え    ぐさ    ,3 2k1KO
枯,wither,"wither, die, dry up, be seasoned ",9,206,1218,1144,1144,1049,4,1756,799,384F,コ    か.れる    か.らす    ,コ,"[枯死, 枯淡, 栄枯]","[こし, こたん, えいこ]",枯らす; 枯れる,か.らす; か.れる,",wither,tree,wood,old,tombstone,gravestone,church,ten,needle,mouth,",",juu,kuchi,kuti,ki,moku,",か-れる、か-らす,コ    か.れる    か.らす    ,3 2k1KO
朽,decay,"decay, rot, remain in seclusion ",6,1243,1892,1145,1145,1048,4,1977,534,3560,キュウ    く.ちる    ,キュウ,"[不朽, 老朽, 腐朽]","[ふきゅう, ろうきゅう, ふきゅう]",朽ちる,く.ちる,",decay,tree,wood,snare,",",ki,moku,",く-ちる,キュウ    く.ちる    Name Readings:  くつ    ,3 2k1KO
巧,adroit,"adroit, skilled, ingenuity ",5,1241,121,1146,1146,1047,3,1495,856,392A,コウ    たく.み    たく.む    うま.い    ,コウ,"[巧拙, 巧妙, 技巧]","[こうせつ, こうみょう, ぎこう]",巧み,たく.み,",adroit,craft,snare,",",takumi,",たく-み,コウ    たく.み    たく.む    うま.い    Name Readings:  かつ    たくみ    よし    ,3 2k1KO
某,so-and-so,"so-and-so, one, a certain, that person ",9,1759,806,1147,1147,2121,3,1738,2569,4B3F,ボウ    それがし    なにがし    ,ボウ,"[某氏, 某国, 某所]","[ぼうし, ぼうこく, ぼうしょ]",,,",so-and-so,sweet,wicker basket,picnic basket,tree,wood,",",ki,moku,amai,",,ボウ    それがし    なにがし    ,3 2k1KO
媒,mediator,"mediator, go-between ",12,1761,808,1148,1148,2123,2.5,1779,2224,475E,バイ    ,バイ,"[媒介, 媒体, 触媒]","[ばいかい, ばいたい, しょくばい]",,,",mediator,woman,so-and-so,sweet,wicker basket,picnic basket,tree,wood,",",onna,ki,moku,amai,",,バイ    ,3 2k1KO
謀,conspire,"conspire, cheat, impose on, plan, devise, scheme, have in mind, deceive ",16,1760,807,1149,1149,2122,3,1384,2575,4B45,ボウ    ム    はか.る    たばか.る    はかりごと    ,ボウ、ム*,"[謀略, 無謀, 首謀者];  [謀反]","[ぼうりゃく, むぼう, しゅぼうしゃ]; [むほん]",謀る,はか.る,",conspire,say,words,keitai,mouth,so-and-so,sweet,wicker basket,picnic basket,tree,wood,",",kuchi,kuti,ki,moku,amai,kotoba,gonben,",はか-る,ボウ    ム    はか.る    たばか.る    はかりごと    ,3 2k1KO
詩,poem,"poem, poetry ",13,346,1437,1150,1150,389,8,1239,1111,3B6D,シ    ,シ,"[詩情, 詩人, 詩歌]","[しじょう, しじん, しいか]",,,",poem,say,words,keitai,mouth,Buddhist temple,soil,dirt,ground,glue,",",kuchi,kuti,tsuchi,tuti,sunn,kotoba,gonben,",,シ    Name Readings:  うた    ,3 2k1KO
謡,Noh chanting,noh chanting ,16,1968,474,1151,1151,1370,4,1794,2782,4D58,ヨウ    うた.い    うた.う    ,ヨウ,"[謡曲, 民謡, 歌謡]","[ようきょく, みんよう, かよう]",謡う; 謡,うた.う; うたい,",noh chanting,say,words,keitai,mouth,condor,claw,vulture,king,mountain,",",kuchi,kuti,yama,tsume,kotoba,gonben,",うたい、うた-う,ヨウ    うた.い    うた.う    ,3 2k1KO
誇,boast,"boast, be proud, pride, triumphantly ",13,1244,1977,1152,1152,2025,4,1316,808,3858,コ    ほこ.る    ,コ,"[誇示, 誇大, 誇張]","[こじ, こだい, こちょう]",誇る,ほこ.る,",boast,say,words,keitai,mouth,Batman,large,St. Bernard,chandelier,one,ceiling,snare,",",ichi,iti,kuchi,kuti,ookii,kotoba,gonben,",ほこ-る,コ    ほこ.る    ,3 2k1KO
詐,lie,"lie, falsehood, deceive, pretend ",12,1141,695,1153,1153,1794,2.5,1494,970,3A3E,サ    いつわ.る    ,サ,"[詐欺, 詐取, 詐称]","[さぎ, さしゅ, さしょう]",,,",lie,say,words,keitai,mouth,saw,",",kuchi,kuti,kotoba,gonben,",,サ    いつわ.る    ,3 2k1KO
欺,deceit,"deceit, cheat, delude ",12,1762,1257,1154,1154,1795,3,1538,499,353D,ギ    あざむ.く    ,ギ,[詐欺],[さぎ],欺く,あざむ.く,",deceit,bushel basket,hamper,animal legs,eight,lack,yawn,",",hachi,hati,akubi,",あざむ-く,ギ    あざむ.く    ,3 2k1KO
訟,sue,"sue, accuse ",11,787,1482,1155,1155,1709,2.5,1259,1373,3E59,ショウ    ,ショウ,[訴訟],[そしょう],,,",sue,say,words,keitai,mouth,public,eight,elbows,",",kuchi,kuti,kotoba,gonben,",,ショウ    ,3 2k1KO
詰,packed,"packed, close, pressed, reprove, rebuke, blame ",13,343,879,1156,1156,515,4,989,515,354D,キツ    キチ    つ.める    つ.め    -づ.め    つ.まる    つ.む    ,キツ,"[詰問, 難詰, 面詰]","[きつもん, なんきつ, めんきつ]",詰まる; 詰む; 詰める,つ.まる; つ.む; つ.める,",packed,say,words,keitai,mouth,aerosol,good luck,samurai,mouth,mouth2,",",kuchi,kuti,samurai,kotoba,gonben,",つ-める、つ-まる、つ-む,キツ    キチ    つ.める    つ.め    -づ.め    つ.まる    つ.む    Name Readings:  ずめ    づめ    ,3 2k1KO
諾,consent,"consent, assent, agreement ",15,351,1760,1157,1157,1804,3,1598,1782,427A,ダク    ,ダク,"[諾否, 承諾, 快諾]","[だくひ, しょうだく, かいだく]",,,",consent,say,words,keitai,mouth,young,flowers,by one’s side,mouth,mouth2,",",kuchi,kuti,kusa,kotoba,gonben,",,ダク    ,3 2k1KO
譲,defer,"defer, turnover, transfer, convey ",20,1528,102,1158,1158,1662,3,934,1405,3E79,ジョウ    ゆず.る    ,ジョウ,"[譲渡, 譲歩, 謙譲]","[じょうと, じょうほ, けんじょう]",譲る,ゆず.る,",defer,say,words,keitai,mouth,grass skirt,top hat,eight,six,animal legs,celery,scarf,",",nabebuta,hachi,hati,kuchi,kuti,koromo,kotoba,gonben,",ゆず-る,ジョウ    ゆず.る    Name Readings:  ゆずり    ,3 2k1KO
諮,consult with,consult with ,16,475,669,1159,1159,1638,3,1624,1114,3B70,シ    はか.る    ,シ,[諮問],[しもん],諮る,はか.る,",consult with,say,words,keitai,mouth,next,ice,lack,yawn,mouth,mouth2,",",nisui,kuchi,kuti,akubi,kotoba,gonben,",はか-る,シ    はか.る    ,3 2k1KO
該,above-stated,"above-stated, the said, that specific ",13,1522,1535,1160,1160,2164,3,1640,308,333A,ガイ    ,ガイ,"[該当, 該博, 当該]","[がいとう, がいはく, とうがい]",,,",above-stated,say,words,keitai,mouth,sign of the hog,acorn,top hat,",",nabebuta,kuchi,kuti,kotoba,gonben,",,ガイ    ,3 2k1KO
誠,sincerity,"sincerity, admonish, warn, prohibit, truth, fidelity ",13,363,1176,1161,1161,1299,5,1113,1535,403F,セイ    まこと    ,セイ,"[誠実, 誠意, 至誠]","[せいじつ, せいい, しせい]",誠,まこと,",sincerity,say,words,keitai,mouth,turn into,sword,dagger,parade,",",katana,kuchi,kuti,hoko,kotoba,gonben,",まこと,セイ    まこと    Name Readings:  きよ    さと    しげ    とも    のぶ    ま    まこ    まさ    ,3 2k1KO
盛,boom,"boom, prosper, copulate ",11,1457,1175,1162,1162,1300,5,705,1529,4039,セイ    ジョウ    も.る    さか.る    さか.ん    ,セイ、ジョウ*,"[盛大, 隆盛, 全盛];  [繁盛]","[せいだい, りゅうせい, ぜんせい]; [はんじょう]",盛る; 盛ん; 盛る,さか.る; さか.ん; も.る,",boom,turn into,dish,",",sara,",も-る、さか-る、さか-ん,セイ    ジョウ    も.る    さか.る    さか.ん    Name Readings:  もり    ,3 2k1KO
